,rule_lhs,rule_rhs,lhs,rhs,judgment,confidence
1506,have hundred of,offer a large selection of,lawyers have hundred of other cases,lawyers offer a large selection of other cases,Yes,1.0
1507,get a lot of,attract a great deal of,doctors get a lot of free samples,doctors attract a great deal of free samples,Yes,1.0
1508,be the best known of,be the most famous of,Histamine be the best known of these chemicals,Histamine be the most famous of these chemicals,Yes,1.0
1509,be happy with,prefer,Nobody be happy with the compromise,Nobody prefer the compromise,Yes,1.0
1510,be delivered to,be supplied to,The report be delivered to the secretary,The report be supplied to the secretary,Yes,1.0
1511,weigh about,weigh,the fish weigh about 15 lbs,the fish weigh 15 lbs,Yes,1.0
1512,have a variety of,have a great selection of,the kit have a variety of uses,the kit have a great selection of uses,Yes,1.0
1513,be a rite of,be a point of,male circumcision be a rite of passage,male circumcision be a point of passage,Yes,1.0
1514,be proud of,be happy with,All of you be proud of yourselves,All of you be happy with yourselves,Yes,1.0
1515,be vital for,help in,Water be vital for survival,Water help in survival,Yes,1.0
1516,happen through,be achieved through,experience happen through trial and error,experience be achieved through trial and error,Yes,1.0
1517,be closed for,be closed on,school be closed for Veterans Day,school be closed on Veterans Day,Yes,1.0
1518,affect,impact,your choices affect the outcome,your choices impact the outcome,Yes,1.0
1519,have several problem with,be disappointed with,Consumer have several problem with transmission,Consumer be disappointed with transmission,Yes,1.0
1520,solve the mystery of,discover the secret of,authorities solve the mystery of her disappearance,authorities discover the secret of her disappearance,Yes,1.0
1521,be beneficial for,be recommended for,Payday loans be beneficial for salaried individuals,Payday loans be recommended for salaried individuals,Yes,1.0
1522,be full of,be rich in,this one be full of character,this one be rich in character,Yes,1.0
1523,take out,remove,the husband take out a box,the husband remove a box,Yes,1.0
1524,stay from,turn from,a character stay from stereotypes,a character turn from stereotypes,Yes,1.0
1525,work ok for,be ok for,the program work ok for a while,the program be ok for a while,Yes,1.0
1526,be the most important part of,be a crucial part of,the P.S. be the most important part of a letter,the P.S. be a crucial part of a letter,Yes,1.0
1527,reach out to,care about,the project reach out to patients,the project care about patients,Yes,1.0
1528,reduce,cut down on,The administration reduce training,The administration cut down on training,Yes,1.0
1529,approach,turn to,the supervisor approach him,the supervisor turn to him,Yes,1.0
1530,experience,undergo,men experience prostate problems,men undergo prostate problems,Yes,1.0
1531,deal with,be affected by,children deal with the death of loved ones,children be affected by the death of loved ones,Yes,1.0
1532,be satisfying to,be satisfactory for,"artistic , sensitive , or spiritually inclined people be satisfying to him","artistic , sensitive , or spiritually inclined people be satisfactory for him",Yes,1.0
1533,abandon,desert,the parties abandon the transaction,the parties desert the transaction,Yes,1.0
1534,purchase,pick up,others purchase the game,others pick up the game,Yes,1.0
1535,offer a comprehensive range of,have a wide range of,The Business Center offer a comprehensive range of services,The Business Center have a wide range of services,Yes,1.0
1536,be open to,be available to,The survey be open to students,The survey be available to students,Yes,1.0
1537,reflect,represent,Websites reflect their owners,Websites represent their owners,Yes,1.0
1538,be grateful for,appreciate,the artist be grateful for the opportunity,the artist appreciate the opportunity,Yes,1.0
1539,punch,smash,Josiah punch him,Josiah smash him,Yes,1.0
1540,be rare in,be found in,anaphylactic reactions be rare in patients,anaphylactic reactions be found in patients,Yes,1.0
1541,provide food for,eat@R@,the algae provide food for the coral,the coral eat the algae,Yes,1.0
1542,hope for,aim for,Egypt hope for a long-term truce,Egypt aim for a long-term truce,Yes,1.0
1543,join,join in,Jane join her sister,Jane join in her sister,Yes,1.0
1544,be made for,be provided for,Every effort be made for students,Every effort be provided for students,Yes,1.0
1545,team with,announce a partnership with,Palmer team with Jack Nicklaus,Palmer announce a partnership with Jack Nicklaus,Yes,1.0
1546,start in,be expected to commence in,Building start in November,Building be expected to commence in November,Yes,1.0
1547,come look for,set out to find,this guy come look for an argument,this guy set out to find an argument,Yes,1.0
1548,accept,welcome,Lewis accept this truth,Lewis welcome this truth,Yes,1.0
1549,come from,originate in,The Messiah come from the tribe of Judah,The Messiah originate in the tribe of Judah,Yes,1.0
1550,reach,arrive at,the sample reach 30.degree,the sample arrive at 30.degree,Yes,1.0
1551,have access to,be given access to,the debugger have access to the source code,the debugger be given access to the source code,Yes,1.0
1552,be interested in make,want to make,keyboard player be interested in make music,keyboard player want to make music,Yes,1.0
1553,be similar for,be similar across,the user interface be similar for the programs,the user interface be similar across the programs,Yes,1.0
1554,think about,think of,Ive think about my future,Ive think of my future,Yes,1.0
1555,post in,be active on,Rob Caron post in his blog,Rob Caron be active on his blog,Yes,1.0
1556,spend 17 year in,gain experience in,Porter spend 17 year in the NBA,Porter gain experience in the NBA,Yes,1.0
1557,be fascinated with,be drawn to,America be fascinated with magic,America be drawn to magic,Yes,1.0
1558,be grateful to,be appreciative of,the United States be grateful to Germany,the United States be appreciative of Germany,Yes,1.0
1559,watch over,look on,FINRA watch over its members,FINRA look on its members,Yes,1.0
1560,be optimal for,make the most sense for,a newspaper be optimal for advertising,a newspaper make the most sense for advertising,Yes,1.0
1561,be dedicated to,be reserved for,The new facility be dedicated to research,The new facility be reserved for research,Yes,1.0
1562,increase with,worsen with,The risks increase with age,The risks worsen with age,Yes,1.0
1563,stand at,be situated at,Christine stand at the window,Christine be situated at the window,Yes,1.0
1564,long to see,enjoy hang out with,Yang long to see Lau,Yang enjoy hang out with Lau,Yes,1.0
1565,appear on,be displayed on,the material appear on screen,the material be displayed on screen,Yes,1.0
1566,seem to make,make,this argument seem to make sense,this argument make sense,Yes,1.0
1567,be a place for,be place for,Disneyland be a place for kids of all ages,Disneyland be place for kids of all ages,Yes,1.0
1568,be all over,be spread all over,content be all over the internet,content be spread all over the internet,Yes,1.0
1569,have link to,have a list of,This Website have link to other sites,This Website have a list of other sites,Yes,1.0
1570,be grateful for,be touched by,the community be grateful for the support,the community be touched by the support,Yes,1.0
1571,be all about,stress,this post be all about the differences,this post stress the differences,Yes,1.0
1572,blame for,result in,harmful greenhouse gas emissions blame for global warming,harmful greenhouse gas emissions result in global warming,Yes,1.0
1573,recommend,reccomend,your healthcare provider recommend Betaseron,your healthcare provider reccomend Betaseron,Yes,1.0
1574,go to look for,begin to look for,Pat go to look for an apartment,Pat begin to look for an apartment,Yes,1.0
1575,be the centre of,be a center for,the earth be the centre of the universe,the earth be a center for the universe,Yes,1.0
1576,ship,be dispatched,Orders ship the next business day,Orders be dispatched the next business day,Yes,1.0
1577,need to return to,try to get to,Students need to return to their lockers,Students try to get to their lockers,Yes,1.0
1578,be introduced into,be added to,HIV be introduced into the gay population,HIV be added to the gay population,Yes,1.0
1579,be measured in,be measured as,The amplitude be measured in decibels,The amplitude be measured as decibels,Yes,1.0
1580,have a stockpile of,stock up on,"Hezbollah have a stockpile of 40,000 rockets","Hezbollah stock up on 40,000 rockets",Yes,1.0
1581,voice,make no secret of,Iraqis voice their opinions,Iraqis make no secret of their opinions,Yes,1.0
1582,meet on,visit on,the board meet on April 20,the board visit on April 20,Yes,1.0
1583,notify,advise,The Organiser notify the Consumer,The Organiser advise the Consumer,Yes,1.0
1584,be advised for,be advised to take@R@,genetic counseling be advised for couples,couples be advised to take genetic counseling,Yes,1.0
1585,have many benefit for,have a beneficial effect on,the partnership have many benefit for both companies,the partnership have a beneficial effect on both companies,Yes,1.0
