rule_lhs	rule_rhs	lhs	rhs	judgment	confidence
have an army of	be an army of	Insurance companies have an army of investigators	Insurance companies be an army of investigators	No	1
run into	catch up with	Ben run into Jessica	Ben catch up with Jessica	No	1
be rare in	be popular in	anaphylactic reactions be rare in patients	anaphylactic reactions be popular in patients	No	1
be the second of	be the seventh in	The loss be the second of the season	The loss be the seventh in the season	No	1
consider	describe	others consider a purchase	others describe a purchase	No	1
build	expand	companies build Web sites	companies expand Web sites	No	1
point out to	complain to	His secretary point out to him	His secretary complain to him	No	1
be eligible to participate in	like to participate in	my child be eligible to participate in the program	my child like to participate in the program	No	1
enter	march into	Immigrants enter our country	Immigrants march into our country	No	1
have their own set of	have the same number of	companies have their own set of names	companies have the same number of names	No	1
be prepared to accept	be unable to accept	Students be prepared to accept a paid internship	Students be unable to accept a paid internship	No	1
be honest with	want to please	men be honest with each other	men want to please each other	No	1
have no access to	access	Africa have no access to electricity	Africa access electricity	No	1
be glorified in	have great plan for	Christ be glorified in his body	Christ have great plan for his body	No	1
leave after	feel after	the family leave after the first week	the family feel after the first week	No	1
deny	fulfill	Defendants deny their actions	Defendants fulfill their actions	No	1
have one thing on	lose	the Germans have one thing on their minds	the Germans lose their minds	No	1
marry in	be resident of	a non-Catholic marry in the Church	a non-Catholic be resident of the Church	No	1
drive	stay with	web design services drive businesses	web design services stay with businesses	No	1
spin	bend	The larvae spin a cocoon	The larvae bend a cocoon	No	1
be assured of	want to provide	visitors be assured of breathtaking scenery	visitors want to provide breathtaking scenery	No	1
take care of	cater for	his mama and papa take care of him	his mama and papa cater for him	No	1
dare	avert	No one dare dispute	No one avert dispute	No	1
need to use	like to use	Most users need to use this feature	Most users like to use this feature	No	1
win	deserve	the Pats win that game	the Pats deserve that game	No	1
answer	greet	the Lord answer him	the Lord greet him	No	1
be the ideal of	be the destiny of	God be the ideal of every soul	God be the destiny of every soul	No	1
join	stay with	others join their ranks	others stay with their ranks	No	1
check	do this for	The user check the date	The user do this for the date	No	1
be interviewed by	be presented by	Ann Coulter be interviewed by Matt Lauer	Ann Coulter be presented by Matt Lauer	No	1
cool in	be warmer in	the Sun cool in millions of years	the Sun be warmer in millions of years	No	1
be announced in	be planned in	Preliminary results be announced in June	Preliminary results be planned in June	No	1
be dragged from	be found float in	The victims be dragged from their homes	The victims be found float in their homes	No	1
graduate	be bullied at	Only 6 % of all Americans graduate high school	Only 6 % of all Americans be bullied at high school	No	1
be difficult for	be great for	This one be difficult for the younger set	This one be great for the younger set	No	1
be out in	work with	your kids be out in the sun	your kids work with the sun	No	1
start in	begin the first week of	This process start in the 19th century	This process begin the first week of the 19th century	No	1
pull up	roll down	tornado pull up the things	tornado roll down the things	No	1
be a song about	be a novel about	My Mind be a song about loneliness	My Mind be a novel about loneliness	No	1
love to make	start to make	many people love to make money	many people start to make money	No	1
exceed	convert	schools exceed our expectations	schools convert our expectations	No	1
contract with	be employed by	The Army contract with Shell	The Army be employed by Shell	No	1
be beheaded in	be a priest in	Anne Boleyn be beheaded in the tower	Anne Boleyn be a priest in the tower	No	1
do more on	be conservative on	Japan do more on security	Japan be conservative on security	No	1
be the meaning of	be the origin of	Such be the meaning of polytheism	Such be the origin of polytheism	No	1
trust in	defend	Israel trust in lies	Israel defend lies	No	1
sign all of	copy one of	The United States sign all of these treaties	The United States copy one of these treaties	No	1
have any question about	find information on	any member of the group have any question about an event	any member of the group find information on an event	No	1
propose	oppose	EPA propose new procedures	EPA oppose new procedures	No	1
cheat on	break up with@R@	My best friend cheat on his girlfriend	his girlfriend break up with My best friend	No	1
own a number of	have the largest collection of	Time Warner own a number of cable networks	Time Warner have the largest collection of cable networks	No	1
be sure of	count on	Democrats be sure of the answer	Democrats count on the answer	No	1
get out of	stay in	things get out of control	things stay in control	No	1
need to build	be interested in build	Students need to build their credit history	Students be interested in build their credit history	No	1
be most important to	be best for	the attributes be most important to him	the attributes be best for him	No	1
trick	be seduced by@R@	Odysseus trick him	him be seduced by Odysseus	No	1
despise	yield to	Ma despise him	Ma yield to him	No	1
be beheaded in	bring christianity to	Anne Boleyn be beheaded in the tower	Anne Boleyn bring christianity to the tower	No	1
come of	be 25 year of	Baby boomers come of age	Baby boomers be 25 year of age	No	1
collect	distribute	our website collect aggregate information	our website distribute aggregate information	No	1
imply about	be a sad commentary on	the poem imply about human nature	the poem be a sad commentary on human nature	No	1
ask to see	be required to show	his relatives ask to see him	his relatives be required to show him	No	1
grow up on	travel to	Allen grow up on a farm	Allen travel to a farm	No	1
do to	ruin	your governments do to your children	your governments ruin your children	No	1
remember	tie the game in	Jews remember the Holocaust	Jews tie the game in the Holocaust	No	1
vary across	extend across	urban and rural areas vary across countries	urban and rural areas extend across countries	No	1
